Date,Open,High,Low,Close,Adj Close,Volume
2015-10-01,3.690000,4.230000,3.690000,4.170000,3.762916,1564921218
2015-11-01,4.190000,4.420000,3.810000,4.070000,3.672678,1114267470
2015-12-01,4.140000,4.500000,4.030000,4.130000,3.726820,896734082
2016-01-01,4.130000,4.170000,3.210000,3.300000,2.977847,1650176444
2016-02-01,3.280000,3.350000,2.760000,2.880000,2.598848,988369863
2016-03-01,2.890000,3.940000,2.880000,3.840000,3.465131,1466040011
2016-04-01,3.810000,4.170000,3.670000,3.870000,3.492202,903073419
2016-05-01,3.870000,4.210000,3.590000,4.110000,3.708773,910561422
2016-06-01,4.100000,4.350000,3.930000,4.190000,3.780963,839233070
2016-07-01,4.190000,5.420000,4.190000,5.100000,4.642777,1387592464
2016-08-01,5.160000,6.370000,5.150000,6.220000,5.662368,1657987060
2016-09-01,6.200000,7.290000,6.180000,6.920000,6.299613,1328240022
2016-10-01,7.000000,9.200000,6.990000,8.000000,7.282789,1275592608
2016-11-01,8.060000,8.400000,7.100000,8.020000,7.300996,1405347964
2016-12-01,8.020000,8.510000,7.020000,7.410000,6.745683,1360219931
2017-01-01,7.410000,9.480000,7.390000,9.230000,8.402517,1136950245
2017-02-01,9.100000,11.400000,8.950000,10.560000,9.613281,1376853704
2017-03-01,10.660000,12.620000,10.420000,11.900000,10.833149,1985061744
2017-04-01,12.140000,12.280000,10.080000,10.500000,9.558661,1421271737
2017-05-01,10.500000,13.120000,10.160000,12.900000,11.743497,1614767634
2017-06-01,13.100000,17.420000,12.800000,16.840000,15.330270,2070961250
2017-07-01,16.959999,19.160000,16.620001,18.059999,16.583447,1285240661
2017-08-01,17.980000,20.250000,17.580000,19.240000,17.666975,1130657469
2017-09-01,19.320000,24.700001,18.879999,22.000000,20.201319,1215596934
2017-10-01,22.000000,27.750000,22.000000,24.150000,22.175541,1124261978
2017-11-01,24.450001,29.799999,23.549999,27.200001,24.976177,1112405638
2017-12-01,27.600000,28.450001,23.700001,27.100000,24.884354,932238199
2018-01-01,27.100000,28.750000,24.299999,25.049999,23.001959,1428786640
2018-02-01,25.150000,26.250000,20.000000,25.549999,23.461077,1230109935
2018-03-01,25.400000,27.950001,21.700001,22.600000,20.752264,1198949143
2018-04-01,22.600000,24.500000,20.450001,21.000000,19.283077,879071660
2018-05-01,21.000000,24.400000,20.700001,22.250000,20.430883,996236130
2018-06-01,22.150000,24.600000,19.379999,20.350000,18.686220,1002069275
2018-07-01,20.350000,20.950001,17.540001,17.900000,16.637144,969356539
2018-08-01,18.240000,18.440001,14.600000,16.680000,15.503216,1305652728
2018-09-01,16.459999,16.600000,13.700000,15.600000,14.499409,1144696976
2018-10-01,15.600000,15.740000,12.840000,15.000000,13.941739,1316789869
2018-11-01,15.200000,17.340000,13.820000,15.420000,14.332108,1287868713
2018-12-01,16.200001,16.400000,13.200000,13.800000,12.826401,679841413
2019-01-01,13.800000,13.800000,10.080000,13.260000,12.324498,1884785752
2019-02-01,13.320000,16.219999,12.720000,14.740000,13.700083,1095148264
2019-03-01,14.880000,16.120001,13.400000,15.000000,13.941739,1485050700
2019-04-01,15.200000,19.139999,15.120000,15.740000,14.629531,2075313680
2019-05-01,15.740000,15.760000,12.020000,12.860000,11.952718,1428719271
2019-06-01,12.760000,13.500000,12.080000,13.360000,12.417442,928348417
2019-07-01,13.360000,14.000000,11.240000,12.140000,11.606428,1232599585
2019-08-01,11.880000,12.700000,10.400000,12.120000,11.587307,1112139770
2019-09-01,12.000000,14.160000,11.740000,13.300000,12.715445,1174248604
2019-10-01,13.300000,15.160000,13.020000,14.900000,14.245121,904232864
2019-11-01,14.740000,15.780000,14.500000,14.640000,13.996550,741446887
2019-12-01,14.720000,15.780000,14.560000,15.240000,14.570178,651417251
2020-01-01,15.240000,16.500000,12.460000,12.540000,11.988848,1127465629
